"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002EA","B02001_002M","B02001_002MA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0500000US45079","Richland County, South Carolina","418307","null","*****","*****","170799","null","1393","null","198047","null","4152","null","386","297","null","null","12256","null","1193","null","95","null","158","null","13500","2650","null","null","23224","4816","null","null","8458","2705","null","null","14766","null","4120","null",
"0500000US45083","Spartanburg County, South Carolina","335864","null","*****","*****","224529","null","1932","null","64769","null","2562","null","1913","1193","null","null","7946","null","1229","null","130","null","168","null","10682","2882","null","null","25895","3642","null","null","14536","2725","null","null","11359","null","2508","null",
"0500000US45085","Sumter County, South Carolina","104758","null","*****","*****","46996","null","458","null","46920","null","1848","null","171","218","null","null","855","null","280","null","350","null","520","null","2696","1143","null","null","6770","1734","null","null","1404","902","null","null","5366","null","1618","null",
"0500000US45091","York County, South Carolina","288595","null","*****","*****","200464","null","2154","null","54226","null","1483","null","1071","490","null","null","6681","null","1532","null","14","null","24","null","5615","2746","null","null","20524","3572","null","null","10260","3008","null","null","10264","null","2023","null",
"0500000US46083","Lincoln County, South Dakota","67870","null","*****","*****","60916","null","970","null","517","null","575","null","104","136","null","null","2911","null","756","null","0","null","170","null","243","277","null","null","3179","1060","null","null","2270","997","null","null","909","null","507","null",
"0500000US46099","Minnehaha County, South Dakota","199685","null","*****","*****","160874","null","1083","null","12767","null","1189","null","4554","1235","null","null","3010","null","672","null","239","null","348","null","4543","1398","null","null","13698","1907","null","null","5663","1235","null","null","8035","null","1772","null",
"0500000US46103","Pennington County, South Dakota","111806","null","*****","*****","87441","null","1389","null","1255","null","683","null","9067","1959","null","null","1083","null","562","null","0","null","170","null","1800","984","null","null","11160","2344","null","null","3201","1514","null","null","7959","null","2186","null",
"0500000US47001","Anderson County, Tennessee","77576","null","*****","*****","68047","null","1154","null","2256","null","774","null","273","243","null","null","272","null","275","null","0","null","224","null","1977","1137","null","null","4751","830","null","null","1229","678","null","null","3522","null","693","null",
"0500000US47009","Blount County, Tennessee","137605","null","*****","*****","123678","null","667","null","1671","null","727","null","179","264","null","null","831","null","586","null","60","null","92","null","1550","1089","null","null","9636","1586","null","null","3752","1161","null","null","5884","null","1140","null",
"0500000US47011","Bradley County, Tennessee","110162","null","*****","*****","95156","null","2565","null","4224","null","989","null","700","430","null","null","1077","null","314","null","0","null","224","null","2541","2021","null","null","6464","1831","null","null","3517","1482","null","null","2947","null","913","null",
"0500000US47037","Davidson County, Tennessee","703953","null","*****","*****","397298","null","2598","null","178430","null","4427","null","1898","873","null","null","25226","null","3014","null","536","null","670","null","37483","5305","null","null","63082","7194","null","null","36442","5072","null","null","26640","null","5133","null",
